Annex Type,Approved Estimates wage,Approved Estimates Non Wage,Approved Estimates GoU Dev,Approved Estimates GoU Total,Releases by End June Wage,Releases by End June Non Wage,Releases by End June Gou Dev,Releases by End June GoU Total,Expenditure by End June Wage,Expenditure by End June Non Wage,Expenditure by End June Gou Dev,Expenditure by End June GoU Total,Performance by End June Wage,Performance by End June Non Wage,Performance by End June Gou Dev,Performance by End June GoU Total
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.39,1.29,0.70,4.38,2.20,1.33,0.70,4.22,2.11,1.31,0.70,4.13,88.7%,101.4%,100.0%
Annex A1.1,Vote: 169 Masaka Referral Hospital,2.57,1.07,1.10,4.74,2.46,1.27,1.10,4.83,2.44,1.26,1.10,4.80,94.9%,118.1%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.57,1.07,1.10,4.74,2.46,1.27,1.10,4.83,2.44,1.26,1.10,4.80,94.9%,118.1%,100.0%
Annex A1.1,Vote: 170 Mbale Referral Hospital,3.83,1.88,0.80,6.51,3.79,2.07,0.80,6.66,3.79,1.86,0.40,6.05,98.9%,98.9%,49.9%
Annex A1.1,VF:0856 Regional Referral Hospital Services,3.83,1.88,0.80,6.51,3.79,2.07,0.80,6.66,3.79,1.86,0.40,6.05,98.9%,98.9%,49.9%
Annex A1.1,Vote: 171 Soroti Referral Hospital,2.67,1.09,0.80,4.56,2.62,1.25,0.80,4.67,2.62,1.25,0.80,4.66,98.1%,114.3%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.67,1.09,0.80,4.56,2.62,1.25,0.80,4.67,2.62,1.25,0.80,4.66,98.1%,114.3%,100.0%
Annex A1.1,Vote: 172 Lira Referral Hospital,2.57,1.09,1.00,4.66,2.57,1.36,1.00,4.93,2.56,1.29,1.00,4.85,99.7%,117.7%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.57,1.09,1.00,4.66,2.57,1.36,1.00,4.93,2.56,1.29,1.00,4.85,99.7%,117.7%,100.0%
Annex A1.1,Vote: 173 Mbarara Referral Hospital,3.28,1.15,1.00,5.43,2.89,1.33,0.99,5.21,2.89,1.25,0.99,5.14,88.2%,109.3%,99.3%
Annex A1.1,VF:0856 Regional Referral Hospital Services,3.28,1.15,1.00,5.43,2.89,1.33,0.99,5.21,2.89,1.25,0.99,5.14,88.2%,109.3%,99.3%
Annex A1.1,Vote: 174 Mubende Referral Hospital,2.14,0.79,1.00,3.93,2.14,0.79,1.00,3.93,2.02,0.79,1.00,3.81,94.5%,100.0%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.14,0.79,1.00,3.93,2.14,0.79,1.00,3.93,2.02,0.79,1.00,3.81,94.5%,100.0%,100.0%
Annex A1.1,Vote: 175 Moroto Referral Hosptial,1.73,0.82,1.00,3.55,1.48,0.82,1.00,3.29,1.35,0.82,1.00,3.16,77.6%,100.0%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,1.73,0.82,1.00,3.55,1.48,0.82,1.00,3.29,1.35,0.82,1.00,3.16,77.6%,100.0%,100.0%
Annex A1.1,Vote: 176 Naguru Referral Hospital,3.42,0.82,1.02,5.26,2.54,0.91,1.02,4.46,2.54,0.91,1.02,4.46,74.1%,110.9%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,3.42,0.82,1.02,5.26,2.54,0.91,1.02,4.46,2.54,0.91,1.02,4.46,74.1%,110.9%,100.0%
Annex A1.1,Vote: 501-850 Local Governments,250.61,38.98,33.28,322.87,228.63,40.98,33.28,302.89,220.49,40.98,33.28,294.75,88.0%,105.1%,100.0%
Annex A1.1,VF:0881 Primary Healthcare,250.61,38.98,33.28,322.87,228.63,40.98,33.28,302.89,220.49,40.98,33.28,294.75,88.0%,105.1%,100.0%
Annex A1.1,Water and Environment,14.53,15.56,234.57,264.66,14.16,12.50,215.09,241.75,14.04,12.46,213.94,240.43,96.6%,80.1%,91.2%
Annex A1.1,Vote: 019 Ministry of Water and Environment,5.36,3.84,172.22,181.41,5.11,3.39,153.06,161.56,5.00,3.38,151.96,160.34,93.4%,87.9%,88.2%
Annex A1.1,VF:0901 Rural Water Supply and Sanitation,0.38,0.13,42.43,42.94,0.38,0.11,36.44,36.94,0.38,0.11,36.14,36.63,98.5%,84.8%,85.2%
Annex A1.1,VF:0902 Urban Water Supply and Sanitation,0.29,0.12,55.48,55.89,0.29,0.10,,,,,,,,,
Annex A1.1,51.83 52.22,0.28,0.10,51.60,51.98,97.9%,84.5%,93.0%,93.4%,93.0%,99.5%,,,,,
Annex A1.1,VF:0903 Water for Production,0.25,0.07,31.65,31.97,0.00,0.02,22.81,22.83,0.00,0.02,22.75,22.77,0.0%,24.4%,71.9%
Annex A1.1,VF:0904 Water Resources Management,0.89,0.31,5.22,6.41,0.89,0.24,5.24,6.38,0.82,0.24,5.10,6.16,91.6%,78.3%,97.9%
Annex A1.1,VF:0905 Natural Resources Management,0.57,0.59,21.53,22.69,0.57,0.41,21.31,22.29,0.57,0.41,21.15,22.12,99.6%,68.5%,98.2%
Annex A1.1,"VF:0906 Weather, Climate and Climate Change",1.04,0.13,4.46,5.63,1.04,0.09,4.34,5.47,1.04,0.09,4.29,5.42,100.0%,71.7%,96.1%
Annex A1.1,"VF:0949 Policy, Planning and Support Services",1.93,2.49,11.46,15.88,1.93,2.42,11.09,15.44,1.92,2.41,10.93,15.26,99.2%,96.7%,95.4%
Annex A1.1,Vote: 122 Kampala Capital City Authority,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,30.6%,N/A
Annex A1.1,VF:0908 Sanitation and Environmental Services,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,30.6%,N/A
Annex A1.1,Vote: 150 National Environment Management Authority,3.78,4.22,1.05,9.05,3.65,3.63,0.89,8.18,3.63,3.61,0.85,8.09,96.2%,85.5%,80.6%
Annex A1.1,VF:0951 Environmental Management,3.78,4.22,1.05,9.05,3.65,3.63,0.89,8.18,3.63,3.61,0.85,8.09,96.2%,85.5%,80.6%
Annex A1.1,Vote: 157 National Forestry Authority,5.40,0.13,0.93,6.46,5.40,0.11,0.77,6.28,5.40,0.11,0.77,6.28,100.0%,84.2%,82.7%
Annex A1.1,VF:0952 Forestry Management,5.40,0.13,0.93,6.46,5.40,0.11,0.77,6.28,5.40,0.11,0.77,6.28,100.0%,84.2%,82.7%
Annex A1.1,Vote: 501-850 Local Governments,0.00,7.36,60.37,67.73,0.00,5.36,60.37,65.73,0.00,5.36,60.37,65.73,N/A,72.8%,100.0%
Annex A1.1,VF:0981 Rural Water Supply and Sanitation,0.00,2.00,60.37,62.37,0.00,0.00,60.37,60.37,0.00,0.00,60.37,60.37,N/A,0.0%,100.0%
Annex A1.1,VF:0982 Urban Water Supply and Sanitation,0.00,2.50,0.00,2.50,0.00,2.50,0.00,2.50,0.00,2.50,0.00,2.50,N/A,100.0%,N/A
Annex A1.1,VF:0983 Natural Resources Management,0.00,2.85,0.00,2.85,0.00,2.85,0.00,2.85,0.00,2.85,0.00,2.85,N/A,100.0%,N/A
Annex A1.1,Social Development,3.97,26.01,43.05,73.03,4.18,24.23,46.01,74.41,4.14,24.22,45.77,74.13,104.2%,93.1%,106.3%
Annex A1.1,"Vote: 018 Ministry of Gender, Labour and Social Develop",2.45,17.32,41.02,60.79,2.45,16.37,43.98,62.80,2.42,16.37,43.75,62.54,98.5%,94.5%,106.7%
Annex A1.1,VF:1001 Community Mobilisation and Empowerment,0.23,1.90,0.00,2.13,0.23,1.89,0.00,2.12,0.21,1.89,0.00,2.10,92.5%,99.4%,N/A
Annex A1.1,VF:1002 Mainstreaming Gender and Rights,0.33,1.62,0.00,1.95,0.33,1.62,0.00,1.95,0.33,1.62,0.00,1.95,100.0%,100.0%,N/A
Annex A1.1,VF:1003 Promotion of Labour Productivity and Employment,0.81,1.42,2.00,4.23,0.81,1.42,1.98,4.21,0.79,1.42,1.95,4.16,97.7%,99.8%,97.3%
Annex A1.1,VF:1004 Social Protection for Vulnerable Groups,0.33,5.92,2.00,8.25,0.33,5.28,1.98,7.60,0.33,5.28,1.98,7.60,100.0%,89.2%,99.3%
Annex A1.1,"VF:1049 Policy, Planning and Support Services",0.76,6.45,37.02,44.23,0.76,6.16,40.02,46.93,0.75,6.16,39.82,46.73,100.0%,95.4%,107.6%
Annex A1.1,Vote: 122 Kampala Capital City Authority,0.00,0.17,1.73,1.90,0.00,0.14,1.73,1.86,0.00,0.14,1.72,1.85,N/A,78.8%,99.5%
Annex A1.1,"VF:1005 Gender, Community and Economic Development",0.00,0.17,1.73,1.90,0.00,0.14,1.73,1.86,0.00,0.14,1.72,1.85,N/A,78.8%,99.5%
Annex A1.1,Vote: 124 Equal Opportunities Commission,1.52,1.38,0.30,3.20,1.72,1.38,0.30,3.40,1.72,1.38,0.30,3.40,113.4%,100.0%,100.0%
Annex A1.1,VF:1006 Promotion of equal opportunities and redressing inbala,1.52,1.38,0.30,3.20,1.72,1.38,0.30,3.40,1.72,1.38,0.30,3.40,113.4%,100.0%,100.0%
Annex A1.1,Vote: 501-850 Local Governments,0.00,7.14,0.00,7.14,0.00,6.34,0.00,6.34,0.00,6.34,0.00,6.34,N/A,88.8%,N/A
Annex A1.1,VF:1081 Community Mobilisation and Empowerment,0.00,7.14,0.00,7.14,0.00,6.34,0.00,6.34,0.00,6.34,0.00,6.34,N/A,88.8%,N/A
Annex A1.1,Security,423.03,378.57,104.44,906.04,428.44,556.61," 104.44 1,089.49",427.75,544.24," 104.41 1,076.39",101.1%,143.8%,100.0%,120.2%,118.8%
Annex A1.1,Vote: 001 Office of the President,26.23,12.89,0.65,39.77,28.81,19.39,0.65,48.85,28.81,19.39,0.65,48.85,109.8%,150.4%,100.0%
Annex A1.1,VF:1111 Internal security,26.23,12.89,0.65,39.77,28.81,19.39,0.65,48.85,28.81,19.39,0.65,48.85,109.8%,150.4%,100.0%
Annex A1.1,Vote: 004 Ministry of Defence,388.82,360.17,103.39,852.39,391.65,530.91," 103.39 1,025.95",390.96,518.54," 103.36 1,012.86",100.5%,144.0%,100.0%,120.4%,118.8%
Annex A1.1,VF:1101 National Defence (UPDF),387.62,345.86,103.39,836.87,390.45,478.97,103.39,972.82,389.77,478.78,103.36,971.92,100.6%,138.4%,100.0%
Annex A1.1,"VF:1149 Policy, Planning and Support Services",1.20,14.31,0.00,15.51,1.20,51.93,0.00,53.14,1.18,39.76,0.00,40.94,98.4%,277.8%,N/A
Annex A1.1,Vote: 159 External Security Organisation,7.98,5.51,0.39,13.88,7.98,6.31,0.39,14.68,7.98,6.31,0.39,14.68,100.0%,114.5%,100.0%
Annex A1.1,VF:1151 External Security,7.98,5.51,0.39,13.88,7.98,6.31,0.39,14.68,7.98,6.31,0.39,14.68,100.0%,114.5%,100.0%
Annex A1.1,"Justice, Law and Order",290.05,288.28,228.76,807.09,290.76,336.47,252.88,880.11,287.29,332.29,251.38,870.96,99.0%,115.3%,109.9%
Annex A1.1,Vote: 007 Ministry of Justice and Constitutional Affairs,4.16,11.97,23.61,39.73,3.59,37.91,30.69,72.19,3.44,37.46,29.70,70.61,82.9%,313.1%,125.8%
Annex A1.1,VF:1201 Legislation and Legal services,1.93,1.01,0.00,2.93,1.58,1.01,0.00,2.59,1.52,0.94,0.00,2.46,78.8%,93.7%,N/A
Annex A1.1,VF:1203 Administration of Estates/Property of the Deceased,0.51,0.25,0.00,0.76,0.34,0.25,0.00,0.60,0.33,0.24,0.00,0.58,65.8%,96.2%,N/A
Annex A1.1,VF:1204 Regulation of the Legal Profession,0.21,0.26,0.00,0.47,0.17,0.26,0.00,0.43,0.16,0.24,0.00,0.40,77.0%,92.0%,N/A
Annex A1.1,VF:1205 Support to the Justice Law and Order Sector,0.00,0.00,23.60,23.60,0.00,0.00,30.68,30.68,0.00,0.00,29.69,29.69,N/A,N/A,125.8%
Annex A1.1,VF:1206 Court Awards (Statutory),0.00,4.35,0.00,4.35,0.00,14.35,942,,,,,,,,
Annex A1.1,0.00 14.35,0.00,14.25,0.00,14.25,N/A,327.8%,N/A,330.0%,327.8%,99.3%,,,,,
Annex A1.1,"VF:1249 Policy, Planning and Support Services",1.51,6.10,0.01,7.62,1.49,22.04,0.01,23.55,1.43,21.79,0.01,23.23,94.7%,357.1%,81.8%
Annex A1.1,Vote: 009 Ministry of Internal Affairs,2.34,7.53,1.03,10.90,2.38,7.61,1.03,11.01,2.38,7.58,1.03,10.99,101.5%,100.7%,100.0%
Annex A1.1,VF:1212 Peace Building,0.00,2.23,0.49,2.73,0.00,2.23,0.49,2.73,0.00,2.23,0.49,2.73,N/A,100.0%,100.0%
Annex A1.1,VF:1213 Forensic and General Scientific Services.,0.75,0.29,0.26,1.30,0.67,0.29,0.26,1.21,0.67,0.29,0.26,1.21,88.9%,100.0%,100.0%
Annex A1.1,VF:1214 Community Service,0.19,0.36,0.00,0.55,0.19,0.36,0.00,0.55,0.19,0.36,0.00,0.55,100.0%,100.0%,N/A
Annex A1.1,VF:1215 NGO Registration and Monitoring.,0.13,0.20,0.00,0.33,0.13,0.20,0.00,0.33,0.13,0.20,0.00,0.33,100.0%,100.0%,N/A
Annex A1.1,"VF:1249 Policy, Planning and Support Services",1.27,4.45,0.28,6.00,1.39,4.52,0.28,6.20,1.39,4.50,0.28,6.18,109.4%,101.2%,100.0%
Annex A1.1,Vote: 101 Judiciary,24.88,52.63,5.95,83.46,24.88,54.28,5.95,85.10,24.87,53.74,5.94,84.55,100.0%,102.1%,99.8%
Annex A1.1,VF:1251 Judicial services,24.88,52.63,5.95,83.46,24.88,54.28,5.95,85.10,24.87,53.74,5.94,84.55,100.0%,102.1%,99.8%
Annex A1.1,Vote: 105 Law Reform Commission,2.40,4.79,0.20,7.39,2.40,4.79,0.20,7.38,2.34,4.78,0.20,7.32,97.5%,99.9%,99.9%
Annex A1.1,VF:1252 Legal Reform,2.40,4.79,0.20,7.39,2.40,4.79,0.20,7.38,2.34,4.78,0.20,7.32,97.5%,99.9%,99.9%
Annex A1.1,Vote: 106 Uganda Human Rights Comm,3.59,5.97,0.14,9.70,3.35,5.97,0.14,9.46,3.32,5.92,0.14,9.38,92.6%,99.1%,100.0%
Annex A1.1,VF:1253 Human Rights,3.59,5.97,0.14,9.70,3.35,5.97,0.14,9.46,3.32,5.92,0.14,9.38,92.6%,99.1%,100.0%
Annex A1.1,Vote: 109 Law Development Centre,3.02,1.50,0.87,5.40,3.02,1.50,0.87,5.40,3.02,1.50,0.87,5.40,100.0%,100.0%,100.0%
Annex A1.1,VF:1254 Legal Training,3.02,1.50,0.87,5.40,3.02,1.50,0.87,5.40,3.02,1.50,0.87,5.40,100.0%,100.0%,100.0%
Annex A1.1,Vote: 119 Uganda Registration Services Bureau,5.97,2.74,0.00,8.72,5.53,5.32,0.00,10.85,5.46,5.00,0.00,10.46,91.4%,182.3%,N/A
Annex A1.1,VF:1259 VF - Uganda Registration Services Bureau,5.97,2.74,0.00,8.72,5.53,5.32,0.00,10.85,5.46,5.00,0.00,10.46,91.4%,182.3%,N/A
Annex A1.1,Vote: 120 National Citizenship and Immigration Control,2.80,7.56,108.89,119.25,2.73,7.56,125.93,136.22,2.70,7.35,125.64,135.69,96.3%,97.2%,115.4%
Annex A1.1,VF:1211 Citizenship and Immigration Services,2.80,7.56,108.89,119.25,2.73,7.56,125.93,136.22,2.70,7.35,125.64,135.69,96.3%,97.2%,115.4%
Annex A1.1,Vote: 133 Directorate of Public Prosecutions,6.04,9.96,5.98,21.98,5.66,9.96,5.98,21.59,5.51,9.89,5.98,21.38,91.3%,99.3%,100.0%
Annex A1.1,VF:1255 Public Prosecutions,6.04,9.96,5.98,21.98,5.66,9.96,5.98,21.59,5.51,9.89,5.98,21.38,91.3%,99.3%,100.0%
Annex A1.1,Vote: 144 Uganda Police Force,194.17,137.22,71.66,403.06,194.17,143.23,71.66,409.07,193.85,140.78,71.52,406.16,99.8%,102.6%,99.8%
Annex A1.1,VF:1256 Police Services,194.17,137.22,71.66,403.06,194.17,143.23,71.66,409.07,193.85,140.78,71.52,406.16,99.8%,102.6%,99.8%
Annex A1.1,Vote: 145 Uganda Prisons,39.20,44.94,10.19,94.33,42.32,56.08,10.19,108.59,39.66,56.05,10.14,105.86,101.2%,124.7%,99.6%
Annex A1.1,VF:1257 Prison and Correctional Services,39.20,44.94,10.19,94.33,42.32,56.08,10.19,108.59,39.66,56.05,10.14,105.86,101.2%,124.7%,99.6%
Annex A1.1,Vote: 148 Judicial Service Commission,1.47,1.47,0.24,3.18,0.73,2.27,0.24,3.24,0.73,2.23,0.21,3.16,49.3%,152.1%,86.1%
Annex A1.1,"VF:1258 Recruitment, Discipline, Research &Civic Education",1.47,1.47,0.24,3.18,0.73,2.27,0.24,3.24,0.73,2.23,0.21,3.16,49.3%,152.1%,86.1%
Annex A1.1,Public Sector Management,242.80,520.22,171.77,934.78,231.13,498.21,173.22,902.56,224.50,496.82,177.03,898.35,92.5%,95.5%,103.1%
Annex A1.1,Vote: 003 Office of the Prime Minister,2.58,48.23,76.78,127.59,2.44,52.20,78.70,133.34,2.36,52.20,78.69,133.26,91.7%,108.2%,102.5%
Annex A1.1,"VF:1301 Policy Coordination, Monitoring and Evaluation",1.00,11.06,2.33,14.39,0.99,15.03,2.31,18.33,0.92,15.03,2.31,18.25,91.5%,135.9%,99.2%
Annex A1.1,"VF:1302 Disaster Preparedness, Management and Refugees",0.41,7.24,13.22,20.87,0.41,7.24,13.12,20.77,0.41,7.24,13.12,20.76,99.9%,100.0%,99.2%
Annex A1.1,VF:1303 Management of Special Programs,0.39,28.51,60.00,88.90,0.29,28.51,59.95,88.75,0.29,28.51,59.95,88.75,73.9%,100.0%,99.9%
Annex A1.1,VF:1349 Administration and Support Services,0.77,1.42,1.24,3.43,0.75,1.42,3.32,5.49,0.75,1.42,3.31,5.48,96.7%,100.4%,267.6%
Annex A1.1,Vote: 005 Ministry of Public Service,3.95,295.83,6.88,306.65,3.27,258.43,6.45,268.15,3.26,257.09,6.89,267.25,82.6%,86.9%,100.2%
Annex A1.1,VF:1312 HR Management,2.13,2.68,0.00,4.81,1.74,2.30,0.00,4.04,1.73,2.29,0.00,4.02,81.4%,85.4%,N/A
Annex A1.1,VF:1313 Management Systems and Structures,0.41,0.60,0.00,1.02,0.33,0.46,0.00,0.79,0.33,0.46,0.00,0.79,79.0%,76.5%,N/A
Annex A1.1,VF:1314 Public Service Inspection,0.20,0.46,0.00,0.66,0.17,0.40,0.00,0.57,0.17,0.40,0.00,0.57,86.2%,86.8%,N/A
Annex A1.1,VF:1315 Public Service Pensions(Statutory),0.00,286.77,0.00,286.77,0.00,250.77,0.00,250.77,0.00,249.46,0.00,249.46,N/A,87.0%,N/A
Annex A1.1,VF:1316 Public Service Pensions Reform,0.12,0.49,0.00,0.61,0.11,0.38,0.00,0.49,0.11,0.38,0.00,0.49,90.2%,77.8%,N/A
Annex A1.1,"VF:1349 Policy, Planning and Support Services",1.09,4.82,6.88,12.79,0.92,4.11,6.45,11.48,0.92,4.10,6.89,11.92,85.1%,85.0%,100.2%
Annex A1.1,Vote: 011 Ministry of Local Government,7.20,6.25,15.12,28.58,6.19,5.86,15.18,27.24,6.10,5.83,18.56,30.49,84.7%,93.3%,122.7%
Annex A1.1,VF:1321 District Administration and Development,5.44,0.54,2.88,8.86,5.44,0.49,2.84,8.77,5.40,0.49,2.82,8.71,99.2%,91.8%,98.0%
Annex A1.1,VF:1322 Local Council Development,0.14,0.43,0.54,1.11,0.00,0.36,0.54,0.90,0.00,0.36,0.53,0.89,0.0%,84.7%,98.1%
Annex A1.1,VF:1323 Urban Administration and Development,0.59,0.24,0.00,0.83,0.59,0.23,0.00,0.82,0.54,0.23,0.00,0.77,92.0%,94.6%,N/A
Annex A1.1,VF:1324 Local Government Inspection and Assessment,0.51,0.97,0.00,1.48,0.00,0.91,,,,,,,,,
Annex A1.1,0.00,0.00,0.91,0.00,0.91,0.0%,93.5%,N/A,61.3%,61.2%,100.0%,,,,,
Annex A1.1,"VF:1349 Policy, Planning and Support Services",0.52,4.08,11.71,16.30,0.16,3.87,11.80,15.84,0.16,3.84,15.21,19.21,30.5%,94.2%,129.9%
Annex A1.1,Vote: 021 East African Community,0.66,19.19,0.40,20.25,0.63,21.43,0.38,22.44,0.62,21.42,0.38,22.42,95.2%,111.6%,94.6%
Annex A1.1,VF:1331 Coordination of the East African Community Affairs,0.26,0.99,0.00,1.26,0.24,0.99,0.00,1.23,0.23,0.99,0.00,1.23,88.2%,100.0%,N/A
Annex A1.1,VF:1332 East African Community Secretariat Services,0.00,15.22,0.00,15.22,0.00,17.41,0.00,17.41,0.00,17.41,0.00,17.41,N/A,114.4%,N/A
Annex A1.1,"VF:1349 Policy, Planning and Support Services",0.39,2.98,0.40,3.77,0.39,3.03,0.38,3.80,0.39,3.02,0.38,3.78,100.0%,101.3%,94.6%
Annex A1.1,Vote: 108 National Planning Authority,4.26,9.94,0.41,14.61,4.33,9.94,0.41,14.68,4.26,9.93,0.41,14.60,100.0%,99.9%,100.0%
Annex A1.1,"VF:1351 National Planning, Monitoring and Evaluation",4.26,9.94,0.41,14.61,4.33,9.94,0.41,14.68,4.26,9.93,0.41,14.60,100.0%,99.9%,100.0%
Annex A1.1,Vote: 122 Kampala Capital City Authority,24.10,5.13,1.20,30.43,29.57,2.80,1.20,33.57,29.57,2.80,1.20,33.57,122.7%,54.6%,99.9%
Annex A1.1,"VF:1349 Economic Policy Monitoring,Evaluation & Inspection",24.10,5.13,1.20,30.43,29.57,2.80,1.20,33.57,29.57,2.80,1.20,33.57,122.7%,54.6%,99.9%
Annex A1.1,Vote: 146 Public Service Commission,1.35,2.88,0.70,4.94,1.43,3.54,0.63,5.61,1.42,3.54,0.63,5.60,105.3%,122.7%,90.5%
Annex A1.1,VF:1352 Public Service Selection and Discplinary Systems,1.35,2.88,0.70,4.94,1.43,3.54,0.63,5.61,1.42,3.54,0.63,5.60,105.3%,122.7%,90.5%
Annex A1.1,Vote: 147 Local Government Finance Comm,1.12,3.14,0.27,4.53,1.12,3.15,0.27,4.54,1.11,3.15,0.27,4.52,99.0%,100.2%,99.1%
Annex A1.1,VF:1353 Coordination of Local Government Financing,1.12,3.14,0.27,4.53,1.12,3.15,0.27,4.54,1.11,3.15,0.27,4.52,99.0%,100.2%,99.1%
Annex A1.1,Vote: 501-850 Local Governments,197.59,129.62,70.01,397.21,182.15,140.85,70.01,393.00,175.79,140.85,70.01,386.64,89.0%,108.7%,100.0%
Annex A1.1,VF:1381 District and Urban Administration,181.32,115.35,0.00,296.67,167.19,126.58,0.00,293.78,161.36,126.58,0.00,287.94,89.0%,109.7%,N/A
Annex A1.1,VF:1382 Local Statutory Bodies,16.27,11.27,0.00,27.54,14.95,11.27,0.00,26.22,14.43,11.27,0.00,25.70,88.7%,100.0%,N/A
Annex A1.1,VF:1383 Local Government Planning Services,0.00,2.99,70.01,73.00,0.00,2.99,70.01,73.00,0.00,2.99,70.01,73.00,N/A,100.0%,100.0%
Annex A1.1,Accountability,160.70,688.11,"307.78 1,156.59",159.66,271.85,314.10,745.60,159.61,270.56,311.47,741.64,99.3%,39.3%,101.2%,64.5%
Annex A1.1,"Vote: 008 Ministry of Finance, Planning & Economic Dev.",4.36,75.08,159.55,238.99,3.92,84.34,160.37,248.63,3.90,84.07,159.61,247.58,89.5%,112.0%,100.0%
Annex A1.1,VF:1401 Macroeconomic Policy and Management,0.43,14.43,68.81,83.67,0.43,16.24,60.26,76.92,0.42,16.17,60.25,76.83,97.0%,112.1%,87.6%
Annex A1.1,"VF:1402 Budget Preparation, Execution and Monitoring",0.59,10.40,5.64,16.64,0.57,12.97,6.90,20.43,0.56,12.95,6.74,20.25,93.7%,124.5%,119.5%
Annex A1.1,VF:1403 Public Financial Management,0.94,14.79,20.44,36.17,0.91,17.84,21.74,40.49,0.91,17.80,21.24,39.95,96.7%,120.4%,103.9%
Annex A1.1,VF:1404 Development Policy Research and Monitoring,0.14,13.35,12.11,25.60,0.11,13.17,13.96,27.24,0.11,13.15,13.96,27.23,84.2%,98.5%,115.2%
Annex A1.1,VF:1406 Investment and Private Sector Promotion,0.08,8.23,15.86,24.17,0.08,9.71,20.81,30.60,0.08,9.70,20.80,30.58,99.5%,117.8%,131.2%
Annex A1.1,VF:1408 Microfinance,0.07,4.80,3.64,8.51,0.07,4.80,4.16,9.04,0.07,4.80,4.16,9.04,99.9%,100.0%,114.5%
Annex A1.1,"VF:1449 Policy, Planning and Support Services",2.11,9.07,33.05,44.23,1.76,9.61,32.54,43.91,1.75,9.50,32.46,43.71,83.2%,104.8%,98.2%
Annex A1.1,Vote: 103 Inspectorate of Government (IG),16.76,16.45,2.93,36.14,16.76,16.57,2.93,36.27,16.76,16.56,2.92,36.24,100.0%,100.7%,99.6%
Annex A1.1,"VF:1451 Corruption investigation ,Litigation & Awareness",16.76,16.45,2.93,36.14,16.76,16.57,2.93,36.27,16.76,16.56,2.92,36.24,100.0%,100.7%,99.6%
Annex A1.1,Vote: 112 Ethics and Integrity,0.55,3.67,1.21,5.43,0.46,3.67,1.21,5.33,0.46,3.64,1.21,5.30,82.7%,99.1%,99.6%
Annex A1.1,VF:1452 Governance and Accountability,0.55,3.67,1.21,5.43,0.46,3.67,1.21,5.33,0.46,3.64,1.21,5.30,82.7%,99.1%,99.6%
Annex A1.1,Vote: 122 Kampala Capital City Authority,0.00,0.43,0.00,0.43,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,N/A,45.5%,N/A
Annex A1.1,VF:1409 Revenue collection and mobilisation,0.00,0.43,0.00,0.43,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,N/A,45.5%,N/A
Annex A1.1,Vote: 130 Treasury Operations,0.00,455.03,0.00,455.03,0.00,10.34,0.00,10.34,0.00,10.34,0.00,10.34,N/A,2.3%,N/A
Annex A1.1,VF:1451 Treasury Operations,0.00,455.03,0.00,455.03,0.00,10.34,0.00,10.34,0.00,10.34,0.00,10.34,N/A,2.3%,N/A
Annex A1.1,Vote: 131 Auditor General,19.59,20.96,10.82,51.37,19.26,20.96,16.31,56.54,19.26,20.92,16.15,56.32,98.3%,99.8%,149.2%
Annex A1.1,VF:1453 External Audit,19.59,20.96,10.82,51.37,19.26,20.96,16.31,56.54,19.26,20.92,16.15,56.32,98.3%,99.8%,149.2%
Annex A1.1,Vote: 141 URA,107.13,84.09,40.50,231.72,107.13,103.68,40.50,251.31,107.13,103.68,40.50,251.31,100.0%,123.3%,100.0%
Annex A1.1,VF:1454 Revenue Collection & Administration,107.13,84.09,40.50,231.72,107.13,103.68,40.50,251.31,107.13,103.68,40.50,251.31,100.0%,123.3%,100.0%
Annex A1.1,Vote: 143 Uganda Bureau of Statistics,8.63,12.38,90.55,111.56,8.63,12.38,90.55,111.56,8.61,11.54,90.43,110.58,99.8%,93.2%,99.9%
Annex A1.1,VF:1455 Statistical production and Services,8.63,12.38,90.55,111.56,8.63,12.38,90.55,111.56,8.61,11.54,90.43,110.58,99.8%,93.2%,99.9%
Annex A1.1,Vote: 153 PPDA,3.68,4.79,2.22,10.69,3.50,4.47,2.22,10.19,3.49,4.38,0.66,8.53,94.8%,91.6%,29.7%
Annex A1.1,VF:1456 Regulation of the Procurement and Disposal System,3.68,4.79,2.22,10.69,3.50,4.47,2.22,10.19,3.49,4.38,0.66,8.53,94.8%,91.6%,29.7%
Annex A1.1,Vote: 501-850 Local Governments,0.00,15.24,0.00,15.24,0.00,15.24,0.00,15.24,0.00,15.24,0.00,15.24,N/A,100.0%,N/A
Annex A1.1,VF:1481 Financial Management and Accountability(LG),0.00,15.24,0.00,15.24,0.00,15.24,,,,,,,,,
